username,level,level_name,trial,mission,status
ai_L1_t1,1,naive_bot,1,register,failed
ai_L1_t1,1,naive_bot,1,login_failure_retry,failed
ai_L1_t1,1,naive_bot,1,compose_post,failed
ai_L1_t1,1,naive_bot,1,explore_scroll,success
ai_L1_t1,1,naive_bot,1,search,failed
ai_L1_t1,1,naive_bot,1,edit_profile,failed
ai_L1_t1,1,naive_bot,1,terms,failed
ai_L1_t1,1,naive_bot,1,timed_account,failed
ai_L1_t1,1,naive_bot,1,delayed_post,failed
ai_L1_t1,1,naive_bot,1,logout_forgot_login_post,failed
ai_L1_t1,1,naive_bot,1,daily_signin,success
ai_L1_t1,1,naive_bot,1,daily_create_character,failed
ai_L1_t1,1,naive_bot,1,daily_dungeon,success
ai_L1_t1,1,naive_bot,1,daily_shop,success
ai_L1_t1,1,naive_bot,1,daily_equip,success
ai_L1_t1,1,naive_bot,1,chat,success
ai_L1_t1,1,naive_bot,1,ranking,success
ai_L1_t1,1,naive_bot,1,allocate_points,success
ai_L1_t2,1,naive_bot,2,register,failed
ai_L1_t2,1,naive_bot,2,login_failure_retry,failed
ai_L1_t2,1,naive_bot,2,compose_post,failed
ai_L1_t2,1,naive_bot,2,explore_scroll,success
ai_L1_t2,1,naive_bot,2,search,failed
ai_L1_t2,1,naive_bot,2,edit_profile,failed
ai_L1_t2,1,naive_bot,2,terms,failed
ai_L1_t2,1,naive_bot,2,timed_account,failed
ai_L1_t2,1,naive_bot,2,delayed_post,failed
ai_L1_t2,1,naive_bot,2,logout_forgot_login_post,failed
ai_L1_t2,1,naive_bot,2,daily_signin,success
ai_L1_t2,1,naive_bot,2,daily_create_character,failed
ai_L1_t2,1,naive_bot,2,daily_dungeon,success
ai_L1_t2,1,naive_bot,2,daily_shop,success
ai_L1_t2,1,naive_bot,2,daily_equip,success
ai_L1_t2,1,naive_bot,2,chat,success
ai_L1_t2,1,naive_bot,2,ranking,success
ai_L1_t2,1,naive_bot,2,allocate_points,success
ai_L1_t3,1,naive_bot,3,register,failed
ai_L1_t3,1,naive_bot,3,login_failure_retry,failed
ai_L1_t3,1,naive_bot,3,compose_post,failed
ai_L1_t3,1,naive_bot,3,explore_scroll,success
ai_L1_t3,1,naive_bot,3,search,failed
ai_L1_t3,1,naive_bot,3,edit_profile,failed
ai_L1_t3,1,naive_bot,3,terms,failed
ai_L1_t3,1,naive_bot,3,timed_account,failed
ai_L1_t3,1,naive_bot,3,delayed_post,failed
